id,author,full_name,ori_name,work1,work2,work3
102,米兰·昆德拉,米兰·昆德拉,Milan Kundera,不能承受的生命之轻,不朽,本性
103,米哈依尔·肖洛霍夫,米哈依尔·肖洛霍夫,Mikhail Sholokhov,静静的顿河,,
104,米歇尔·德·蒙田,米歇尔·德·蒙田,Michel de Montaigne,蒙田随笔,,
105,紫式部,紫式部,紫式部,源氏物语,,
106,约翰·伯恩,约翰·伯恩,John Byrne,穿条纹睡衣的男孩,,
107,约翰·弥尔顿,约翰·弥尔顿,John Milton,失乐园,论出版自由,
108,纪德,安德烈·纪德,Andre Gide,窄门,背德者,
109,维克多·雨果,维克多·雨果,Victor-Marie Hugo,巴黎圣母院,悲惨世界,
110,罗曼·罗兰,罗曼·罗兰,Romain Rolland,名人传,约翰·克利斯朵夫,
111,聂鲁达,聂鲁达,Pablo Neruda,二十首情诗和一首绝望的歌,聂鲁达爱情诗选,
112,胡里奥·科塔萨尔,胡里奥·科塔萨尔,Julio Cortazar ,万火归一,南方高速,游戏的终结
113,艾米莉·勃朗特,艾米莉·勃朗特,Emily Bronte,呼啸山庄,,
114,艾萨克·阿西莫夫,艾萨克·阿西莫夫,Isaac Asimov,永恒的终结,银河帝国基地七部曲,
115,芥川龙之介,芥川龙之介,芥川龍之介,罗生门,芥川龙之介精选集,
116,苏珊·桑塔格,苏珊·桑塔格,Susan Sontag ,论摄影,反对阐释,火山情人
117,荷马,荷马,Homer,伊利亚特,奥德赛,
118,莎士比亚,莎士比亚,William Shakespeare,哈姆雷特,威尼斯商人,李尔王
119,莫泊桑,居伊·德·莫泊桑,Guy de Maupassant,温泉,漂亮朋友,羊脂球
120,菲利普·迪克,菲利普·迪克,Philip K. Dick,仿生人会梦见电子羊吗,高堡奇人,
121,菲茨杰拉德,弗朗西斯·斯科特·菲茨杰拉德,F. Scott Fitzgerald,了不起的盖茨比,夜色温柔,美丽与毁灭
122,萨克雷,威廉·梅克比斯·萨克雷,William Makepeace Thackeray,名利场,,
123,蒲宁,伊万·蒲宁,Ivan Bunin,阿尔谢尼耶夫的一生,,
124,薄伽丘,薄伽丘,Giovanni Boccaccio,十日谈,,
125,西奥多·德莱塞,西奥多·德莱塞,Theodore Dreiser,天才,,
126,西德尼·谢尔顿,西德尼·谢尔顿,Sidney Sheldon,假如明天来临,,
127,谷崎润一郎,谷崎润一郎,谷崎潤一郎,春琴抄,秦淮之夜,细雪
128,费尔南多·佩索阿,费尔南多·佩索阿,Fernando Pessoa,惶然录,,
129,贾雷德·戴蒙德,贾雷德·戴蒙德,Jared Diamond,枪炮、病菌与钢铁：人类社会的命运,,
130,赫尔曼·黑塞,赫尔曼·黑塞,Hermann Hesse,玻璃球游戏,荒原狼,
131,路易莎·梅·奥尔科特,路易莎·梅·奥尔科特,Louisa May Alcott,小妇人,,
132,达夫妮·杜穆里埃,达夫妮·杜穆里埃,Daphne du Maurier,蝴蝶梦,,
133,道格拉斯·亚当斯,道格拉斯·亚当斯,Douglas Adams,银河系漫游五部曲,,
134,金爱烂,金爱烂,김애란,你的夏天还好吗？,滔滔生活,容易忘记的名字
135,阿加莎·克里斯蒂,阿加莎·克里斯蒂,Agatha Christie,东方快车谋杀案,尼罗河上的惨案,无人生还
136,阿瑟·克拉克,亚瑟·克拉克,Arthur C. Clarke,太空漫游四部曲,,
137,阿瑟·高顿,阿瑟·高顿,Arthur Golden,艺妓回忆录,死灵魂,
